Aadhaar KYC Face Matching — Batch Summary
==============================================================================================================
Timestamp: 2026-04-09 10:58:59
Total pairs: 90

Aadhaar                   | Selfie          | Result     | Cosine | Fused  | Conf   | Aadhaar Demo     | Selfie Demo      | Age Note
----------------------------------------------------------------------------------------------------------------------------------------------------------------
AADHAR001.jpg             | USER_01.jpg     | MATCH      | 0.5739 | 0.5162 |  70.4% | M age 36         | M age 30         | Aadhaar photo appears ~6yr OLDER than selfie (unusual — verify document)
AADHAR001.jpg             | USER_02.jpg     | MATCH      | 0.5075 | 0.5032 |  58.8% | M age 36         | M age 31         | Aadhaar photo appears ~5yr OLDER than selfie (unusual — verify document)
AADHAR001.jpg             | USER_03.jpg     | NO MATCH   | 0.0000 | 0.1642 |   0.0% | M age 36         | F age 28         | Aadhaar photo appears ~8yr OLDER than selfie (unusual — verify document) [GENDER MISMATCH]
AADHAR001.jpg             | USER_04.jpg     | NO MATCH   | 0.0469 | 0.2147 |   4.7% | M age 38         | F age 42         | Aadhaar photo appears ~4yr YOUNGER than selfie (older Aadhaar card likely) [GENDER MISMATCH]
AADHAR001.jpg             | USER_05.jpg     | NO MATCH   | 0.1110 | 0.2642 |  11.1% | M age 36         | F age 25         | Aadhaar photo appears ~11yr OLDER than selfie (unusual — verify document) [GENDER MISMATCH]
AADHAR001.jpg             | USER_06.jpg     | NO MATCH   | 0.0826 | 0.2486 |   8.3% | M age 36         | M age 45         | Aadhaar photo appears ~9yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR001.jpg             | USER_07.jpg     | NO MATCH   | 0.2143 | 0.3268 |  21.4% | M age 36         | M age 38         | Ages consistent (within 2 years)
AADHAR001.jpg             | USER_08.jpg     | NO MATCH   | 0.2622 | 0.3348 |  26.2% | M age 36         | M age 54         | Aadhaar photo appears ~18yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR001.jpg             | USER_09.jpg     | NO MATCH   | 0.1618 | 0.2731 |  16.2% | M age 36         | M age 79         | Aadhaar photo appears ~43yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR001.jpg             | USER_10.jpg     | NO MATCH   | 0.2456 | 0.2825 |  24.6% | M age 38         | M age 21         | Aadhaar photo appears ~17yr OLDER than selfie (unusual — verify document)
AADHAR02.jpg              | USER_01.jpg     | NO MATCH   | 0.2388 | 0.2778 |  23.9% | M age 33         | M age 30         | Aadhaar photo appears ~3yr OLDER than selfie (unusual — verify document)
AADHAR02.jpg              | USER_02.jpg     | NO MATCH   | 0.2564 | 0.3304 |  25.6% | M age 35         | M age 31         | Aadhaar photo appears ~4yr OLDER than selfie (unusual — verify document)
AADHAR02.jpg              | USER_03.jpg     | NO MATCH   | 0.0021 | 0.1919 |   0.2% | M age 33         | F age 28         | Aadhaar photo appears ~5yr OLDER than selfie (unusual — verify document) [GENDER MISMATCH]
AADHAR02.jpg              | USER_04.jpg     | NO MATCH   | 0.0388 | 0.1683 |   3.9% | M age 33         | F age 42         | Aadhaar photo appears ~9yr YOUNGER than selfie (older Aadhaar card likely) [GENDER MISMATCH]
AADHAR02.jpg              | USER_05.jpg     | NO MATCH   | 0.1259 | 0.2541 |  12.6% | M age 33         | F age 25         | Aadhaar photo appears ~8yr OLDER than selfie (unusual — verify document) [GENDER MISMATCH]
AADHAR02.jpg              | USER_06.jpg     | NO MATCH   | 0.0517 | 0.2057 |   5.2% | M age 35         | M age 45         | Aadhaar photo appears ~10yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR02.jpg              | USER_07.jpg     | NO MATCH   | 0.1027 | 0.2284 |  10.3% | M age 35         | M age 38         | Aadhaar photo appears ~3yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR02.jpg              | USER_08.jpg     | NO MATCH   | 0.1639 | 0.2386 |  16.4% | M age 35         | M age 54         | Aadhaar photo appears ~19yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR02.jpg              | USER_09.jpg     | NO MATCH   | 0.0822 | 0.2320 |   8.2% | M age 35         | M age 79         | Aadhaar photo appears ~44yr YOUNGER than selfie (older Aadhaar card likely)
AADHAR02.jpg              | USER_10.jpg     | NO MATCH   | 0.1247 | 0.1907 |  12.5% | M age 33         | M age 21         | Aadhaar photo appears ~12yr OLDER than selfie (unusual — verify document)
